codigo_regiao,nome_regiao,id_uf,nome_uf,CD_MUN,nome_municipio,total_setores,total_pessoas,total_domicilios,total_domicilios_particulares,total_domicilios_coletivos,media_moradores_domicilio_particular_ocupado,percentual_domicilios_particulares_ocupados,total_domicilios_particulares_ocupados
2,Nordeste,23,Ceará,2307403,Jucás,58,23922,10546,10538,8,"2,902041808","0,559066602",8228
2,Nordeste,23,Ceará,2307502,Lavras da Mangabeira,63,30802,13410,13402,8,"2,938078428","0,06678752",10481
2,Nordeste,23,Ceará,2307601,Limoeiro do Norte,176,59560,26927,26919,8,"2,774742436","0,177147919",21451
2,Nordeste,23,Ceará,2307635,Madalena,61,16896,7094,7091,3,"3,010340524","0,623997147",5609
2,Nordeste,23,Ceará,2307650,Maracanaú,384,234509,95409,95388,21,"2,940714537","9,028300467",79716
2,Nordeste,23,Ceará,2307700,Maranguape,236,105093,42065,42049,16,"2,993443558","1,009122007",35080
2,Nordeste,23,Ceará,2307809,Marco,60,25799,9524,9516,8,"3,388654909","2,513819426",7598
2,Nordeste,23,Ceará,2307908,Martinópole,24,10846,4723,4722,1,"2,931351351","0,108108108",3700
2,Nordeste,23,Ceará,2308005,Massapê,69,37697,15331,15323,8,"3,054294976","0,486223663",12340
2,Nordeste,23,Ceará,2308104,Mauriti,137,45561,19603,19593,10,"3,059341398","0,120967742",14880
2,Nordeste,23,Ceará,2308203,Meruoca,33,15157,7137,7123,14,"3,138888889","0,373134328",4824
2,Nordeste,23,Ceará,2308302,Milagres,86,25900,11325,11320,5,"2,954670016","0,216944508",8758
2,Nordeste,23,Ceará,2308351,Milhã,31,14123,5785,5783,2,"3,023156089","0,19296741",4664
2,Nordeste,23,Ceará,2308377,Miraíma,38,14196,5232,5219,13,"3,330049261","1,52474783",4263
2,Nordeste,23,Ceará,2308401,Missão Velha,117,36822,15790,15785,5,"3,106742047","1,932326386",11851
2,Nordeste,23,Ceará,2308500,Mombaça,102,37735,19083,19079,4,"2,760775704","0,014635931",13665
2,Nordeste,23,Ceará,2308609,Monsenhor Tabosa,82,17149,7830,7828,2,"2,94285224","0,394714261",5827
2,Nordeste,23,Ceará,2308708,Morada Nova,160,61443,28744,28729,15,"2,708107393","0,793545827",22683
2,Nordeste,23,Ceará,2308807,Moraújo,23,8254,3642,3642,0,"3,045756458","0,295202952",2710
2,Nordeste,23,Ceará,2308906,Morrinhos,59,22753,9368,9367,1,"3,12021408","3,938520653",7287
2,Nordeste,23,Ceará,2309003,Mucambo,33,13666,6622,6621,1,"2,734840905","0,240144086",4997
2,Nordeste,23,Ceará,2309102,Mulungu,27,10569,4454,4454,0,"3,171017102","0,090009001",3333
2,Nordeste,23,Ceará,2309201,Nova Olinda,35,15399,6730,6726,4,"2,971059232","1,022573799",5183
2,Nordeste,23,Ceará,2309300,Nova Russas,82,30699,13668,13658,10,"2,822629688","0,036856169",10853
2,Nordeste,23,Ceará,2309409,Novo Oriente,99,27545,12674,12669,5,"2,803644137","0,010179153",9824
2,Nordeste,23,Ceará,2309458,Ocara,82,24493,12128,12127,1,"2,783611774","0,079554495",8799
2,Nordeste,23,Ceará,2309508,Orós,45,19675,9105,9101,4,"2,741881533","0,111498258",7175
2,Nordeste,23,Ceará,2309607,Pacajus,128,70983,30243,30237,6,"2,950160037","4,576630503",24057
2,Nordeste,23,Ceará,2309706,Pacatuba,148,81524,32182,32165,17,"2,980003689","3,977125992",27105
2,Nordeste,23,Ceará,2309805,Pacoti,56,11186,4863,4846,17,"3,043644299","0,218221495",3666
2,Nordeste,23,Ceará,2309904,Pacujá,16,6175,2798,2795,3,"2,803725579","2,407996365",2201
