territorialidades,idh,nome_uf,nome_municipio,nome_municipio
Maracanaú (CE),0.686,CE,Maracanaú ,Maracanaú
Maranguape (CE),0.659,CE,Maranguape ,Maranguape
Marco (CE),0.612,CE,Marco ,Marco
Martinópole (CE),0.599,CE,Martinópole ,Martinópole
Massapê (CE),0.616,CE,Massapê ,Massapê
Mauriti (CE),0.605,CE,Mauriti ,Mauriti
Meruoca (CE),0.618,CE,Meruoca ,Meruoca
Milagres (CE),0.628,CE,Milagres ,Milagres
Milhã (CE),0.626,CE,Milhã ,Milhã
Miraíma (CE),0.592,CE,Miraíma ,Miraíma
Missão Velha (CE),0.622,CE,Missão Velha ,Missão Velha
Mombaça (CE),0.582,CE,Mombaça ,Mombaça
Monsenhor Tabosa (CE),0.61,CE,Monsenhor Tabosa ,Monsenhor Tabosa
Morada Nova (CE),0.61,CE,Morada Nova ,Morada Nova
Moraújo (CE),0.581,CE,Moraújo ,Moraújo
Morrinhos (CE),0.588,CE,Morrinhos ,Morrinhos
Mucambo (CE),0.607,CE,Mucambo ,Mucambo
Mulungu (CE),0.607,CE,Mulungu ,Mulungu
Nova Olinda (CE),0.625,CE,Nova Olinda ,Nova Olinda
Nova Russas (CE),0.614,CE,Nova Russas ,Nova Russas
Novo Oriente (CE),0.605,CE,Novo Oriente ,Novo Oriente
Ocara (CE),0.594,CE,Ocara ,Ocara
Orós (CE),0.636,CE,Orós ,Orós
Pacajus (CE),0.659,CE,Pacajus ,Pacajus
Pacatuba (CE),0.675,CE,Pacatuba ,Pacatuba
Pacoti (CE),0.635,CE,Pacoti ,Pacoti
Pacujá (CE),0.621,CE,Pacujá ,Pacujá
Palhano (CE),0.638,CE,Palhano ,Palhano
Palmácia (CE),0.622,CE,Palmácia ,Palmácia
Paracuru (CE),0.637,CE,Paracuru ,Paracuru
Paraipaba (CE),0.634,CE,Paraipaba ,Paraipaba
Parambu (CE),0.57,CE,Parambu ,Parambu
Paramoti (CE),0.583,CE,Paramoti ,Paramoti
Pedra Branca (CE),0.603,CE,Pedra Branca ,Pedra Branca
Penaforte (CE),0.646,CE,Penaforte ,Penaforte
Pentecoste (CE),0.629,CE,Pentecoste ,Pentecoste
Pereiro (CE),0.601,CE,Pereiro ,Pereiro
Pindoretama (CE),0.636,CE,Pindoretama ,Pindoretama
Piquet Carneiro (CE),0.6,CE,Piquet Carneiro ,Piquet Carneiro
Pires Ferreira (CE),0.591,CE,Pires Ferreira ,Pires Ferreira
Poranga (CE),0.581,CE,Poranga ,Poranga
Porteiras (CE),0.622,CE,Porteiras ,Porteiras
Potengi (CE),0.562,CE,Potengi ,Potengi
Potiretama (CE),0.604,CE,Potiretama ,Potiretama
Quiterianópolis (CE),0.594,CE,Quiterianópolis ,Quiterianópolis
Quixadá (CE),0.659,CE,Quixadá ,Quixadá
Quixelô (CE),0.591,CE,Quixelô ,Quixelô
Quixeramobim (CE),0.642,CE,Quixeramobim ,Quixeramobim
Quixeré (CE),0.622,CE,Quixeré ,Quixeré
Redenção (CE),0.626,CE,Redenção ,Redenção
Reriutaba (CE),0.601,CE,Reriutaba ,Reriutaba
Russas (CE),0.674,CE,Russas ,Russas
Saboeiro (CE),0.575,CE,Saboeiro ,Saboeiro
Salitre (CE),0.54,CE,Salitre ,Salitre
Santana do Acaraú (CE),0.587,CE,Santana do Acaraú ,Santana do Acaraú
Santana do Cariri (CE),0.612,CE,Santana do Cariri ,Santana do Cariri
Santa Quitéria (CE),0.616,CE,Santa Quitéria ,Santa Quitéria
São Benedito (CE),0.611,CE,São Benedito ,São Benedito
São Gonçalo do Amarante (CE),0.665,CE,São Gonçalo do Amarante ,São Gonçalo do Amarante
São João do Jaguaribe (CE),0.654,CE,São João do Jaguaribe ,São João do Jaguaribe
São Luís do Curu (CE),0.62,CE,São Luís do Curu ,São Luís do Curu
Senador Pompeu (CE),0.619,CE,Senador Pompeu ,Senador Pompeu
Senador Sá (CE),0.603,CE,Senador Sá ,Senador Sá
Sobral (CE),0.714,CE,Sobral ,Sobral
Solonópole (CE),0.625,CE,Solonópole ,Solonópole
Tabuleiro do Norte (CE),0.645,CE,Tabuleiro do Norte ,Tabuleiro do Norte
Tamboril (CE),0.58,CE,Tamboril ,Tamboril
Tarrafas (CE),0.576,CE,Tarrafas ,Tarrafas
Tauá (CE),0.633,CE,Tauá ,Tauá
Tejuçuoca (CE),0.584,CE,Tejuçuoca ,Tejuçuoca
Tianguá (CE),0.657,CE,Tianguá ,Tianguá
Trairi (CE),0.606,CE,Trairi ,Trairi
Tururu (CE),0.606,CE,Tururu ,Tururu
Ubajara (CE),0.648,CE,Ubajara ,Ubajara
Umari (CE),0.591,CE,Umari ,Umari
Umirim (CE),0.587,CE,Umirim ,Umirim
Uruburetama (CE),0.639,CE,Uruburetama ,Uruburetama
Uruoca (CE),0.566,CE,Uruoca ,Uruoca
Varjota (CE),0.611,CE,Varjota ,Varjota
Várzea Alegre (CE),0.629,CE,Várzea Alegre ,Várzea Alegre
Viçosa do Ceará (CE),0.571,CE,Viçosa do Ceará ,Viçosa do Ceará
