nome_candidato,codigo_cargo,nome_cargo,numero_candidato,numero_partido
VOTO NULO,6,DEPUTADO FEDERAL,96,96
REGINA MAURA VILLELA BARBOZA,6,DEPUTADO FEDERAL,1588,15
RAIMUNDO NONATO DA ROCHA FRANCO,6,DEPUTADO FEDERAL,5098,50
FRANCISCO JOZIVAN FELIPE,6,DEPUTADO FEDERAL,3633,36
JANEDSON BRAGA DA SILVA,6,DEPUTADO FEDERAL,9070,90
VOTO BRANCO,6,DEPUTADO FEDERAL,95,95
MARCOS ANTONIO MORAES LIMA,6,DEPUTADO FEDERAL,5522,55
ADELITTA MONTEIRO NUNES,6,DEPUTADO FEDERAL,5013,50
MANOEL PARENTE DE HOLANDA,6,DEPUTADO FEDERAL,3550,35
FRANCISCA OZILENE PEREIRA NOGUEIRA CARVALHO,6,DEPUTADO FEDERAL,3660,36
KARINA CORDEIRO DE SOUZA RODRIGUES,6,DEPUTADO FEDERAL,1252,12
EDINA NOGUEIRA DE CASTRO ROCHA,6,DEPUTADO FEDERAL,1433,14
KELVYA COSTA ALBUQUERQUE,6,DEPUTADO FEDERAL,5566,55
ELZA MARIA BARBOSA ALVES,6,DEPUTADO FEDERAL,4051,40
MARIA CRERINEUMA DE OLIVEIRA SILVA,6,DEPUTADO FEDERAL,1255,12
CRISTIANE COLARES MUNIZ,6,DEPUTADO FEDERAL,1013,10
CHRISTIANNE MARIE AGUIAR COELHO,6,DEPUTADO FEDERAL,1321,13
FELIPE MONTEIRO ANDRADE ARAÚJO,6,DEPUTADO FEDERAL,1012,10
REJANE LUZIA OLIVEIRA DE SOUZA,6,DEPUTADO FEDERAL,4489,44
MARCOS ANTÔNIO DE ARAÚJO MENDONÇA,6,DEPUTADO FEDERAL,7011,70
JOSÉ VALBERTO LEITE ESMERALDO,6,DEPUTADO FEDERAL,7078,70
MAURO LÚCIO SIMÕES COSTA,6,DEPUTADO FEDERAL,1412,14
VANESSA FALCÃO DE SOUZA CASTELO LIMA,6,DEPUTADO FEDERAL,1000,10
LEONIDES AZEVEDO CAVALCANTE,6,DEPUTADO FEDERAL,4003,40
JOSÉ ERONILDO NARCISO DA SILVA,6,DEPUTADO FEDERAL,1531,15
REGINA CELLE DE BRITO TAVARES,6,DEPUTADO FEDERAL,9060,90
PEDRO SÉRGIO TEIXEIRA DANTAS,6,DEPUTADO FEDERAL,1122,11
TERESINHA DA SILVA FERREIRA,6,DEPUTADO FEDERAL,4533,45
FRANCISCO CARLOS MACEDO TAVARES,6,DEPUTADO FEDERAL,4040,40
RAIMUNDO MAGALHÃES FARIAS,6,DEPUTADO FEDERAL,1901,19
ADRIANA DE ARAÚJO FERREIRA,6,DEPUTADO FEDERAL,3688,36
PAULO DE TARSO FACO BEZERRA,6,DEPUTADO FEDERAL,4010,40
JOÃO PAULO LOPES DOS SANTOS,6,DEPUTADO FEDERAL,3378,33
REGINA DUARTE DA SILVA,6,DEPUTADO FEDERAL,2069,20
JOSÉ GERALDO DE QUEIROS,6,DEPUTADO FEDERAL,1400,14
XISTO SOARES DE OLIVEIRA,6,DEPUTADO FEDERAL,1133,11
CICERO MARCIO BRITO DE OLIVEIRA,6,DEPUTADO FEDERAL,4080,40
MÔNICA SILVA SANTOS DE SOUSA,6,DEPUTADO FEDERAL,7077,70
FRANCISCO FARIAS DO RÊGO,6,DEPUTADO FEDERAL,5100,51
VALMIR DOS SANTOS SILVA,6,DEPUTADO FEDERAL,9010,90
AURELIO JOSÉ JARDIM JERÔNIMO,6,DEPUTADO FEDERAL,3380,33
HEITOR CLAUDIO PORTELA DE HOLANDA,6,DEPUTADO FEDERAL,4050,40
LINDOMAR BARBOSA DE MESQUITA,6,DEPUTADO FEDERAL,5122,51
WASHINGTON SABOIA VITORINO,6,DEPUTADO FEDERAL,4033,40
ÉRICO JOVINO SALES,6,DEPUTADO FEDERAL,1500,15
CICERO ANTÔNIO PINHEIRO DOS SANTOS,6,DEPUTADO FEDERAL,1580,15
THIAGO ARAGÃO ESMERALDO,6,DEPUTADO FEDERAL,1155,11
ANDRÉ DO NASCIMENTO FARIAS,6,DEPUTADO FEDERAL,5116,51
CINTHIA BELINO OLIVEIRA DA COSTA,6,DEPUTADO FEDERAL,2022,20
GILBERTO LINARD ROCHA JÚNIOR,6,DEPUTADO FEDERAL,1919,19
TERESA CRISTINA ALCANTARA PINHO,6,DEPUTADO FEDERAL,1139,11
GLENDA MARIA ALVES GARCES SOUSA,6,DEPUTADO FEDERAL,2026,20
NARLIA GADELHA DE OLIVEIRA,6,DEPUTADO FEDERAL,9030,90
ANTONIO LUIZ RODRIGUES MANO JUNIOR,6,DEPUTADO FEDERAL,2255,22
EUNÍCIO LOPES DE OLIVEIRA,6,DEPUTADO FEDERAL,1533,15
ALDIZIO ALVES BRITO,6,DEPUTADO FEDERAL,3355,33
MARIA ZULEIDE RODRIGUES BRANDÃO,6,DEPUTADO FEDERAL,1959,19
JOSE JERIVAN BRAGA BARROSO,6,DEPUTADO FEDERAL,2000,20
FRANCISCA MARIA DOS SANTOS CABRAL,6,DEPUTADO FEDERAL,4423,44
FRANCISCO VAIDON OLIVEIRA,6,DEPUTADO FEDERAL,4455,44
FRANCISCA ANTONIA DE SOUSA SILVA,6,DEPUTADO FEDERAL,1118,11
ANTONIO CLEDMILSON VIEIRA PINHEIRO,6,DEPUTADO FEDERAL,1855,18
INGRID NAYARA DO NASCIMENTO FERNANDES,6,DEPUTADO FEDERAL,2090,20
ENAIDE PAULINO DE SOUZA,6,DEPUTADO FEDERAL,1421,14
ANTÔNIO RODRIGUES DA COSTA NETO,6,DEPUTADO FEDERAL,1999,19
