nome_municipio,ano,total_furtos
Aratuba,2018,11
Aratuba,2019,11
Aratuba,2020,9
Aratuba,2021,11
Aratuba,2022,15
Aratuba,2023,13
Arneiroz,2010,1
Arneiroz,2011,4
Arneiroz,2012,9
Arneiroz,2013,3
Arneiroz,2014,5
Arneiroz,2015,7
Arneiroz,2016,10
Arneiroz,2017,10
Arneiroz,2018,5
Arneiroz,2019,10
Arneiroz,2020,6
Arneiroz,2021,13
Arneiroz,2022,21
Arneiroz,2023,15
Assaré,2009,3
Assaré,2010,3
Assaré,2011,11
Assaré,2012,11
Assaré,2013,43
Assaré,2014,31
Assaré,2015,48
Assaré,2016,47
Assaré,2017,54
Assaré,2018,68
Assaré,2019,55
Assaré,2020,37
Assaré,2021,31
Assaré,2022,57
Assaré,2023,54
Aurora,2009,2
Aurora,2011,3
Aurora,2012,20
Aurora,2013,35
Aurora,2014,48
Aurora,2015,50
Aurora,2016,53
Aurora,2017,63
Aurora,2018,41
Aurora,2019,54
Aurora,2020,43
Aurora,2021,42
Aurora,2022,46
Aurora,2023,70
Baixio,2010,3
Baixio,2011,3
Baixio,2012,1
Baixio,2013,11
Baixio,2014,6
Baixio,2015,5
Baixio,2016,7
Baixio,2017,10
Baixio,2018,13
Baixio,2019,9
Baixio,2020,9
Baixio,2021,13
Baixio,2022,8
Baixio,2023,6
Banabuiú,2010,2
Banabuiú,2012,14
Banabuiú,2013,35
Banabuiú,2014,43
Banabuiú,2015,48
Banabuiú,2016,38
Banabuiú,2017,46
Banabuiú,2018,33
Banabuiú,2019,30
Banabuiú,2020,22
Banabuiú,2021,29
Banabuiú,2022,71
Banabuiú,2023,39
Barbalha,2009,55
Barbalha,2010,38
Barbalha,2011,72
Barbalha,2012,151
Barbalha,2013,198
Barbalha,2014,123
Barbalha,2015,228
Barbalha,2016,305
Barbalha,2017,294
Barbalha,2018,259
Barbalha,2019,282
Barbalha,2020,253
Barbalha,2021,250
Barbalha,2022,387
Barbalha,2023,410
Barreira,2010,5
Barreira,2011,8
Barreira,2012,3
Barreira,2013,8
Barreira,2014,7
